from_id,to_id,distance,walk_time,status
P0001,P0026,154,2,open
P0001,P0041,193,3,open
P0002,P0010,111,2,open
P0002,P0050,269,4,open
P0002,P0091,258,4,closed
P0003,P0006,102,2,open
P0003,P0034,189,3,open
P0003,P0037,238,3,open
P0003,P0051,230,3,open
P0003,P0084,173,3,open
P0003,P0092,74,1,open
P0004,P0006,102,2,open
P0004,P0042,192,3,open
P0004,P0054,84,2,open
P0004,P0073,172,3,open
P0004,P0088,122,2,open
P0005,P0014,245,4,open
P0005,P0079,80,1,open
P0005,P0093,205,3,open
P0006,P0023,152,2,open
P0006,P0080,224,3,open
P0007,P0012,259,4,open
P0007,P0016,99,2,open
P0007,P0045,285,4,open
P0007,P0080,287,4,open
P0008,P0082,84,2,open
P0008,P0083,173,3,open
P0008,P0092,249,4,open
P0009,P0018,273,4,open
P0009,P0022,77,1,closed
P0009,P0025,182,3,open
P0009,P0045,256,4,open
P0009,P0053,100,2,open
P0009,P0067,235,3,open
P0009,P0075,225,3,open
P0010,P0026,160,2,open
P0010,P0037,175,3,open
P0010,P0054,285,4,open
P0010,P0061,91,2,open
P0010,P0083,166,3,open
P0011,P0055,65,1,open
P0011,P0084,104,2,open
P0012,P0020,207,3,open
P0012,P0030,215,3,open
P0012,P0053,234,3,open
P0012,P0090,163,3,open
P0013,P0018,293,4,open
P0013,P0048,101,2,closed
P0014,P0036,92,2,open
P0015,P0050,180,3,open
P0015,P0051,288,4,open
P0015,P0086,219,3,open
P0015,P0091,280,4,open
P0016,P0021,278,4,open
P0016,P0038,211,3,open
P0016,P0052,66,1,open
P0016,P0079,175,3,open
P0016,P0084,285,4,open
P0017,P0030,282,4,open
P0017,P0052,215,3,closed
P0017,P0073,229,3,open
P0017,P0077,55,1,open
P0017,P0080,142,2,open
P0018,P0029,285,4,open
P0018,P0098,215,3,open
P0019,P0040,81,2,open
P0019,P0052,168,3,open
P0019,P0085,180,3,open
P0020,P0032,267,4,open
P0020,P0082,199,3,open
P0021,P0073,194,3,open
P0021,P0077,166,3,open
P0021,P0093,124,2,open
P0022,P0047,196,3,closed
P0023,P0025,244,4,open
P0024,P0060,219,3,open
P0024,P0070,145,2,open
P0024,P0077,55,1,open
P0024,P0089,220,3,open
P0025,P0047,56,1,open
P0025,P0054,76,1,open
P0026,P0071,88,2,open
P0027,P0032,61,1,open
P0027,P0056,257,4,open
P0027,P0094,144,2,open
P0028,P0076,211,3,open
P0028,P0078,242,4,open
P0028,P0086,162,3,open
P0029,P0054,117,2,open
P0029,P0076,192,3,open
P0029,P0085,114,2,open
P0029,P0100,87,2,open
P0030,P0034,105,2,open
P0030,P0065,234,3,open
P0030,P0070,101,2,open
P0030,P0077,178,3,open
P0031,P0042,144,2,open
P0031,P0074,269,4,open
P0031,P0089,132,2,closed
P0032,P0060,153,2,open
P0033,P0046,212,3,open
P0033,P0072,100,2,open
P0033,P0075,189,3,open
P0034,P0056,169,3,open
P0034,P0058,122,2,open
P0034,P0066,97,2,open
P0034,P0067,287,4,open
P0035,P0079,56,1,open
P0035,P0098,268,4,open
P0035,P0099,83,2,open
P0036,P0065,99,2,open
P0036,P0069,217,3,open
P0036,P0090,233,3,open
P0036,P0098,188,3,open
P0037,P0066,166,3,open
P0037,P0073,121,2,open
P0038,P0060,142,2,open
P0038,P0062,262,4,open
P0039,P0064,94,2,open
P0039,P0079,273,4,open
P0039,P0084,233,3,open
P0039,P0086,172,3,open
P0040,P0064,157,2,open
P0040,P0069,165,3,open
P0040,P0099,222,3,open
P0041,P0053,99,2,open
P0041,P0090,222,3,open
P0042,P0058,183,3,open
P0042,P0086,219,3,open
P0042,P0096,216,3,open
P0043,P0071,86,2,open
P0043,P0081,163,3,open
P0043,P0092,81,2,open
P0043,P0093,254,4,open
P0044,P0049,195,3,open
P0044,P0051,285,4,open
P0044,P0070,197,3,open
P0045,P0077,80,1,open
P0045,P0081,259,4,open
P0045,P0095,150,2,open
P0046,P0051,160,2,open
P0046,P0052,74,1,open
P0047,P0052,164,3,open
P0047,P0063,137,2,open
P0048,P0078,292,4,open
P0049,P0062,176,3,open
P0049,P0075,200,3,open
P0049,P0100,124,2,open
P0050,P0069,291,4,open
P0050,P0071,117,2,open
P0050,P0080,59,1,open
P0050,P0098,117,2,open
P0051,P0064,175,3,open
P0051,P0068,278,4,open
P0052,P0057,202,3,open
P0052,P0093,249,4,open
P0054,P0059,65,1,open
P0054,P0094,89,2,open
P0055,P0098,203,3,open
P0055,P0099,215,3,open
P0056,P0087,212,3,open
P0057,P0078,294,4,open
P0057,P0079,201,3,open
P0057,P0094,140,2,open
P0058,P0062,220,3,closed
P0058,P0087,212,3,open
P0059,P0068,141,2,open
P0059,P0073,200,3,open
P0059,P0080,94,2,open
P0060,P0087,75,1,open
P0061,P0075,256,4,open
P0061,P0090,171,3,open
P0061,P0097,205,3,open
P0062,P0068,119,2,open
P0063,P0076,293,4,open
P0063,P0081,243,4,open
P0065,P0070,273,4,open
P0065,P0071,273,4,open
P0065,P0091,261,4,open
P0065,P0100,91,2,open
P0066,P0072,239,3,open
P0066,P0073,257,4,open
P0066,P0085,184,3,open
P0067,P0070,265,4,open
P0068,P0070,262,4,open
P0068,P0080,243,4,open
P0069,P0093,241,4,closed
P0071,P0090,56,1,open
P0072,P0095,133,2,open
P0074,P0083,162,3,open
P0074,P0087,251,4,open
P0076,P0093,142,2,open
P0077,P0090,81,2,open
P0078,P0079,72,1,open
P0083,P0088,51,1,open
P0084,P0096,156,2,closed
P0089,P0100,116,2,open
P0094,P0096,79,1,open
P0095,P0098,294,4,open
P0097,P0099,198,3,open
