from_id,to_id,distance,walk_time,status
H010,H001,100,2,open
H010,H002,50,1,open
H010,H014,80,2,open
H001,H003,20,1,open
H001,H004,30,1,open
H003,H005,40,1,open
H001,H006,60,2,open
H002,H006,40,1,open
H006,H007,100,3,open
H006,H008,120,4,open
H007,H008,50,1,open
H007,H009,30,1,closed
H008,H009,40,1,closed
H002,H009,150,5,closed
H008,H011,200,6,open
H007,H012,150,5,open
H008,H012,150,5,open
H011,H013,100,3,open
H012,H013,80,2,open
H014,H007,200,6,open
H014,H008,200,6,open
H011,H015,100,3,closed
H009,H015,80,2,closed
H004,H007,150,5,open
H004,H008,160,5,open
