place_id,display_name,category,stay_time,open_time,close_time
P0001,思群堂,Teaching,36,00:00,23:59
P0002,群贤堂,Teaching,46,00:00,23:59
P0003,图书馆逸夫楼,Library,36,00:00,23:59
P0004,地理馆,Library,31,00:00,23:59
P0005,物理楼,Teaching,31,00:00,23:59
P0006,化学实验楼,Teaching,27,00:00,23:59
P0007,生物实验楼,Teaching,16,00:00,23:59
P0008,行政楼,Teaching,47,00:00,23:59
P0009,教育学部楼,Teaching,35,00:00,23:59
P0010,信息楼,Teaching,16,00:00,23:59
P0011,计算机中心,Other,22,00:00,23:59
P0012,商学院楼,Teaching,36,00:00,23:59
P0013,心理与认知科学学院楼,Teaching,33,00:00,23:59
P0014,法学院楼,Teaching,49,00:00,23:59
P0015,音乐学院楼,Teaching,7,00:00,23:59
P0016,美术学院楼,Teaching,10,00:00,23:59
P0017,马克思主义学院楼,Teaching,22,00:00,23:59
P0018,河口海岸大楼,Sports,17,00:00,23:59
P0019,国际教育中心,Other,36,00:00,23:59
P0020,档案馆,Library,26,00:00,23:59
P0021,校史馆,Library,43,00:00,23:59
P0022,丽娃河,Sports,17,00:00,23:59
P0023,丽虹桥,Sports,47,00:00,23:59
P0024,共青场,Library,18,00:00,23:59
P0025,体育健康楼,Library,37,00:00,23:59
P0026,足球场,Library,36,00:00,23:59
P0027,篮球场,Library,32,00:00,23:59
P0028,排球场,Library,5,00:00,23:59
P0029,百花园餐厅,Other,27,00:00,23:59
P0030,银之春西餐厅,Other,7,00:00,23:59
P0031,申云轩餐厅,Other,29,00:00,23:59
P0032,河西食堂,Dining,30,00:00,23:59
P0033,河东食堂,Dining,47,00:00,23:59
P0034,丽娃食堂,Dining,42,00:00,23:59
P0035,华闵餐厅,Other,16,00:00,23:59
P0036,秋实阁,Other,6,00:00,23:59
P0037,秋林阁,Other,19,00:00,23:59
P0038,校医院,Other,34,00:00,23:59
P0039,学生活动中心,Other,22,00:00,23:59
P0040,学术交流中心,Other,37,00:00,23:59
P0041,第一教学楼,Teaching,25,00:00,23:59
P0042,第二教学楼,Teaching,13,00:00,23:59
P0043,第三教学楼,Teaching,20,00:00,23:59
P0044,第四教学楼,Teaching,25,00:00,23:59
P0045,实验A楼,Teaching,20,00:00,23:59
P0046,实验B楼,Teaching,31,00:00,23:59
P0047,实验教学中心,Other,25,00:00,23:59
P0048,物理信息楼,Teaching,8,00:00,23:59
P0049,法商楼,Teaching,7,00:00,23:59
P0050,闵行图书馆,Library,23,00:00,23:59
P0051,人文学院楼,Teaching,50,00:00,23:59
P0052,统计学院楼,Teaching,8,00:00,23:59
P0053,生命科学学院楼,Teaching,45,00:00,23:59
P0054,数统楼,Teaching,26,00:00,23:59
P0055,外语学院楼,Teaching,36,00:00,23:59
P0056,田径场,Library,41,00:00,23:59
P0057,游泳馆,Library,15,00:00,23:59
P0058,崇真书院,Other,40,00:00,23:59
P0059,桃李园广场,Sports,37,00:00,23:59
P0060,青年教师公寓,Dormitory,9,00:00,23:59
P0061,本科生公寓1号楼,Dormitory,40,00:00,23:59
P0062,本科生公寓2号楼,Dormitory,32,00:00,23:59
P0063,本科生公寓3号楼,Dormitory,23,00:00,23:59
P0064,本科生公寓4号楼,Dormitory,36,00:00,23:59
P0065,本科生公寓5号楼,Dormitory,23,00:00,23:59
P0066,本科生公寓6号楼,Dormitory,6,00:00,23:59
P0067,研究生公寓1号楼,Dormitory,48,00:00,23:59
P0068,研究生公寓2号楼,Dormitory,35,00:00,23:59
P0069,研究生公寓3号楼,Dormitory,24,00:00,23:59
P0070,研究生公寓4号楼,Dormitory,36,00:00,23:59
P0071,SPF实验动物中心,Other,24,00:00,23:59
P0072,信息化办公室,Other,39,00:00,23:59
P0073,后勤保障部,Other,43,00:00,23:59
P0074,基建处,Other,47,00:00,23:59
P0075,科技处,Other,39,00:00,23:59
P0076,审计处,Other,20,00:00,23:59
P0077,资产管理处,Other,31,00:00,23:59
P0078,人事处,Other,38,00:00,23:59
P0079,学校办公室,Other,32,00:00,23:59
P0080,团委,Other,40,00:00,23:59
P0081,学生资助管理中心,Other,29,00:00,23:59
P0082,心理健康教育与咨询中心,Other,26,00:00,23:59
P0083,校园警卫室,Other,34,00:00,23:59
P0084,莲花路警卫室,Other,40,00:00,23:59
P0085,虹梅路警卫室,Other,36,00:00,23:59
P0086,立体停车库,Other,7,00:00,23:59
P0087,闵行校区大门,Other,42,00:00,23:59
P0088,中北校区大门,Other,20,00:00,23:59
P0089,丽娃湖,Sports,46,00:00,23:59
P0090,柳长桥,Sports,25,00:00,23:59
P0091,梅陇井,Other,18,00:00,23:59
P0092,紫竹广场,Sports,33,00:00,23:59
P0093,心中书社,Other,41,00:00,23:59
P0094,翔华书店,Other,22,00:00,23:59
P0095,河西浴室,Sports,10,00:00,23:59
P0096,河东浴室,Sports,13,00:00,23:59
P0097,丽娃浴室,Other,29,00:00,23:59
P0098,西操场,Library,12,00:00,23:59
P0099,东操场,Library,39,00:00,23:59
P0100,综合体育馆,Library,37,00:00,23:59
P0101,理科大楼_1,Teaching,42,00:00,23:59
P0102,理科大楼_2,Teaching,20,00:00,23:59
P0103,理科大楼_3,Teaching,22,00:00,23:59
P0104,理科大楼_4,Teaching,17,00:00,23:59
P0105,理科大楼_5,Teaching,28,00:00,23:59
P0106,理科大楼_6,Teaching,13,00:00,23:59
P0107,理科大楼_7,Teaching,30,00:00,23:59
P0108,理科大楼_8,Teaching,40,00:00,23:59
P0109,理科大楼_9,Teaching,24,00:00,23:59
P0110,理科大楼_10,Teaching,24,00:00,23:59
P0111,理科大楼_11,Teaching,23,00:00,23:59
P0112,理科大楼_12,Teaching,38,00:00,23:59
P0113,理科大楼_13,Teaching,8,00:00,23:59
P0114,理科大楼_14,Teaching,33,00:00,23:59
P0115,理科大楼_15,Teaching,48,00:00,23:59
P0116,理科大楼_16,Teaching,48,00:00,23:59
P0117,理科大楼_17,Teaching,33,00:00,23:59
P0118,理科大楼_18,Teaching,13,00:00,23:59
P0119,理科大楼_19,Teaching,28,00:00,23:59
P0120,理科大楼_20,Teaching,30,00:00,23:59
P0121,理科大楼_21,Teaching,24,00:00,23:59
P0122,理科大楼_22,Teaching,30,00:00,23:59
P0123,理科大楼_23,Teaching,11,00:00,23:59
P0124,理科大楼_24,Teaching,44,00:00,23:59
P0125,理科大楼_25,Teaching,6,00:00,23:59
P0126,理科大楼_26,Teaching,14,00:00,23:59
P0127,理科大楼_27,Teaching,36,00:00,23:59
P0128,理科大楼_28,Teaching,17,00:00,23:59
P0129,理科大楼_29,Teaching,27,00:00,23:59
P0130,理科大楼_30,Teaching,46,00:00,23:59
P0131,理科大楼_31,Teaching,34,00:00,23:59
P0132,理科大楼_32,Teaching,7,00:00,23:59
P0133,理科大楼_33,Teaching,42,00:00,23:59
P0134,理科大楼_34,Teaching,40,00:00,23:59
P0135,理科大楼_35,Teaching,27,00:00,23:59
P0136,理科大楼_36,Teaching,9,00:00,23:59
P0137,理科大楼_37,Teaching,20,00:00,23:59
P0138,理科大楼_38,Teaching,36,00:00,23:59
P0139,理科大楼_39,Teaching,12,00:00,23:59
P0140,理科大楼_40,Teaching,6,00:00,23:59
P0141,理科大楼_41,Teaching,26,00:00,23:59
P0142,理科大楼_42,Teaching,22,00:00,23:59
P0143,理科大楼_43,Teaching,49,00:00,23:59
P0144,理科大楼_44,Teaching,6,00:00,23:59
P0145,理科大楼_45,Teaching,9,00:00,23:59
P0146,理科大楼_46,Teaching,13,00:00,23:59
P0147,理科大楼_47,Teaching,27,00:00,23:59
P0148,理科大楼_48,Teaching,15,00:00,23:59
P0149,理科大楼_49,Teaching,6,00:00,23:59
P0150,理科大楼_50,Teaching,44,00:00,23:59
P0151,理科大楼_51,Teaching,36,00:00,23:59
P0152,理科大楼_52,Teaching,7,00:00,23:59
P0153,理科大楼_53,Teaching,32,00:00,23:59
P0154,理科大楼_54,Teaching,41,00:00,23:59
P0155,理科大楼_55,Teaching,23,00:00,23:59
P0156,理科大楼_56,Teaching,12,00:00,23:59
P0157,理科大楼_57,Teaching,19,00:00,23:59
P0158,理科大楼_58,Teaching,29,00:00,23:59
P0159,理科大楼_59,Teaching,19,00:00,23:59
P0160,理科大楼_60,Teaching,35,00:00,23:59
P0161,理科大楼_61,Teaching,25,00:00,23:59
P0162,理科大楼_62,Teaching,40,00:00,23:59
P0163,理科大楼_63,Teaching,43,00:00,23:59
P0164,理科大楼_64,Teaching,34,00:00,23:59
P0165,理科大楼_65,Teaching,21,00:00,23:59
P0166,理科大楼_66,Teaching,39,00:00,23:59
P0167,理科大楼_67,Teaching,39,00:00,23:59
P0168,理科大楼_68,Teaching,26,00:00,23:59
P0169,理科大楼_69,Teaching,31,00:00,23:59
P0170,理科大楼_70,Teaching,20,00:00,23:59
P0171,理科大楼_71,Teaching,22,00:00,23:59
P0172,理科大楼_72,Teaching,18,00:00,23:59
P0173,理科大楼_73,Teaching,49,00:00,23:59
P0174,理科大楼_74,Teaching,11,00:00,23:59
P0175,理科大楼_75,Teaching,35,00:00,23:59
P0176,理科大楼_76,Teaching,23,00:00,23:59
P0177,理科大楼_77,Teaching,41,00:00,23:59
P0178,理科大楼_78,Teaching,33,00:00,23:59
P0179,理科大楼_79,Teaching,24,00:00,23:59
P0180,理科大楼_80,Teaching,7,00:00,23:59
P0181,理科大楼_81,Teaching,27,00:00,23:59
P0182,理科大楼_82,Teaching,37,00:00,23:59
P0183,理科大楼_83,Teaching,22,00:00,23:59
P0184,理科大楼_84,Teaching,37,00:00,23:59
P0185,理科大楼_85,Teaching,18,00:00,23:59
P0186,理科大楼_86,Teaching,17,00:00,23:59
P0187,理科大楼_87,Teaching,31,00:00,23:59
P0188,理科大楼_88,Teaching,6,00:00,23:59
P0189,理科大楼_89,Teaching,26,00:00,23:59
P0190,理科大楼_90,Teaching,32,00:00,23:59
P0191,理科大楼_91,Teaching,10,00:00,23:59
P0192,理科大楼_92,Teaching,37,00:00,23:59
P0193,理科大楼_93,Teaching,22,00:00,23:59
P0194,理科大楼_94,Teaching,48,00:00,23:59
P0195,理科大楼_95,Teaching,22,00:00,23:59
P0196,理科大楼_96,Teaching,25,00:00,23:59
P0197,理科大楼_97,Teaching,34,00:00,23:59
P0198,理科大楼_98,Teaching,50,00:00,23:59
P0199,理科大楼_99,Teaching,35,00:00,23:59
P0200,理科大楼_100,Teaching,46,00:00,23:59
P0201,理科大楼_101,Teaching,7,00:00,23:59
P0202,理科大楼_102,Teaching,33,00:00,23:59
P0203,理科大楼_103,Teaching,43,00:00,23:59
P0204,理科大楼_104,Teaching,40,00:00,23:59
P0205,理科大楼_105,Teaching,6,00:00,23:59
P0206,理科大楼_106,Teaching,35,00:00,23:59
P0207,理科大楼_107,Teaching,5,00:00,23:59
P0208,理科大楼_108,Teaching,11,00:00,23:59
P0209,理科大楼_109,Teaching,11,00:00,23:59
P0210,理科大楼_110,Teaching,18,00:00,23:59
P0211,理科大楼_111,Teaching,39,00:00,23:59
P0212,理科大楼_112,Teaching,24,00:00,23:59
P0213,理科大楼_113,Teaching,25,00:00,23:59
P0214,理科大楼_114,Teaching,45,00:00,23:59
P0215,理科大楼_115,Teaching,25,00:00,23:59
P0216,理科大楼_116,Teaching,29,00:00,23:59
P0217,理科大楼_117,Teaching,5,00:00,23:59
P0218,理科大楼_118,Teaching,30,00:00,23:59
P0219,理科大楼_119,Teaching,21,00:00,23:59
P0220,理科大楼_120,Teaching,45,00:00,23:59
P0221,理科大楼_121,Teaching,17,00:00,23:59
P0222,理科大楼_122,Teaching,46,00:00,23:59
P0223,理科大楼_123,Teaching,26,00:00,23:59
P0224,理科大楼_124,Teaching,18,00:00,23:59
P0225,理科大楼_125,Teaching,11,00:00,23:59
P0226,理科大楼_126,Teaching,10,00:00,23:59
P0227,理科大楼_127,Teaching,47,00:00,23:59
P0228,理科大楼_128,Teaching,30,00:00,23:59
P0229,理科大楼_129,Teaching,32,00:00,23:59
P0230,理科大楼_130,Teaching,18,00:00,23:59
P0231,理科大楼_131,Teaching,50,00:00,23:59
P0232,理科大楼_132,Teaching,50,00:00,23:59
P0233,理科大楼_133,Teaching,17,00:00,23:59
P0234,理科大楼_134,Teaching,23,00:00,23:59
P0235,理科大楼_135,Teaching,47,00:00,23:59
P0236,理科大楼_136,Teaching,39,00:00,23:59
P0237,理科大楼_137,Teaching,41,00:00,23:59
P0238,理科大楼_138,Teaching,40,00:00,23:59
P0239,理科大楼_139,Teaching,39,00:00,23:59
P0240,理科大楼_140,Teaching,38,00:00,23:59
P0241,理科大楼_141,Teaching,19,00:00,23:59
P0242,理科大楼_142,Teaching,45,00:00,23:59
P0243,理科大楼_143,Teaching,43,00:00,23:59
P0244,理科大楼_144,Teaching,47,00:00,23:59
P0245,理科大楼_145,Teaching,39,00:00,23:59
P0246,理科大楼_146,Teaching,33,00:00,23:59
P0247,理科大楼_147,Teaching,33,00:00,23:59
P0248,理科大楼_148,Teaching,49,00:00,23:59
P0249,理科大楼_149,Teaching,44,00:00,23:59
P0250,理科大楼_150,Teaching,20,00:00,23:59
P0251,理科大楼_151,Teaching,41,00:00,23:59
P0252,理科大楼_152,Teaching,31,00:00,23:59
P0253,理科大楼_153,Teaching,42,00:00,23:59
P0254,理科大楼_154,Teaching,36,00:00,23:59
P0255,理科大楼_155,Teaching,41,00:00,23:59
P0256,理科大楼_156,Teaching,46,00:00,23:59
P0257,理科大楼_157,Teaching,38,00:00,23:59
P0258,理科大楼_158,Teaching,14,00:00,23:59
P0259,理科大楼_159,Teaching,49,00:00,23:59
P0260,理科大楼_160,Teaching,5,00:00,23:59
P0261,理科大楼_161,Teaching,26,00:00,23:59
P0262,理科大楼_162,Teaching,45,00:00,23:59
P0263,理科大楼_163,Teaching,42,00:00,23:59
P0264,理科大楼_164,Teaching,32,00:00,23:59
P0265,理科大楼_165,Teaching,17,00:00,23:59
P0266,理科大楼_166,Teaching,49,00:00,23:59
P0267,理科大楼_167,Teaching,5,00:00,23:59
P0268,理科大楼_168,Teaching,17,00:00,23:59
P0269,理科大楼_169,Teaching,25,00:00,23:59
P0270,理科大楼_170,Teaching,23,00:00,23:59
P0271,理科大楼_171,Teaching,43,00:00,23:59
P0272,理科大楼_172,Teaching,9,00:00,23:59
P0273,理科大楼_173,Teaching,15,00:00,23:59
P0274,理科大楼_174,Teaching,43,00:00,23:59
P0275,理科大楼_175,Teaching,28,00:00,23:59
P0276,理科大楼_176,Teaching,5,00:00,23:59
P0277,理科大楼_177,Teaching,31,00:00,23:59
P0278,理科大楼_178,Teaching,25,00:00,23:59
P0279,理科大楼_179,Teaching,6,00:00,23:59
P0280,理科大楼_180,Teaching,38,00:00,23:59
P0281,理科大楼_181,Teaching,25,00:00,23:59
P0282,理科大楼_182,Teaching,10,00:00,23:59
P0283,理科大楼_183,Teaching,32,00:00,23:59
P0284,理科大楼_184,Teaching,37,00:00,23:59
P0285,理科大楼_185,Teaching,41,00:00,23:59
P0286,理科大楼_186,Teaching,15,00:00,23:59
P0287,理科大楼_187,Teaching,22,00:00,23:59
P0288,理科大楼_188,Teaching,17,00:00,23:59
P0289,理科大楼_189,Teaching,42,00:00,23:59
P0290,理科大楼_190,Teaching,15,00:00,23:59
P0291,理科大楼_191,Teaching,6,00:00,23:59
P0292,理科大楼_192,Teaching,9,00:00,23:59
P0293,理科大楼_193,Teaching,47,00:00,23:59
P0294,理科大楼_194,Teaching,35,00:00,23:59
P0295,理科大楼_195,Teaching,11,00:00,23:59
P0296,理科大楼_196,Teaching,29,00:00,23:59
P0297,理科大楼_197,Teaching,11,00:00,23:59
P0298,理科大楼_198,Teaching,38,00:00,23:59
