from_id,to_id,distance,walk_time,status
P0001,P0002,3,1,open
P0002,P0003,1,1,open
P0003,P0004,4,1,open
P0004,P0005,8,1,open
P0005,P0006,7,1,open
P0006,P0007,8,1,open
P0007,P0008,9,1,open
P0008,P0009,10,1,open
P0009,P0010,3,1,open
P0010,P0011,8,1,open
P0011,P0012,2,1,open
P0012,P0013,2,1,open
P0013,P0014,4,1,open
P0014,P0015,1,1,open
P0015,P0016,5,1,open
P0016,P0017,4,1,open
P0017,P0018,7,1,open
P0018,P0019,3,1,open
P0019,P0020,7,1,open
P0020,P0021,1,1,open
P0021,P0022,7,1,open
P0022,P0023,2,1,open
P0023,P0024,7,1,open
P0024,P0025,1,1,open
P0025,P0026,5,1,open
P0026,P0027,10,1,open
P0027,P0028,9,1,open
P0028,P0029,9,1,open
P0029,P0030,10,1,open
P0030,P0031,3,1,open
P0031,P0032,3,1,open
P0032,P0033,2,1,open
P0033,P0034,7,1,open
P0034,P0035,2,1,open
P0035,P0036,5,1,open
P0036,P0037,9,1,open
P0037,P0038,10,1,open
P0038,P0039,2,1,open
P0039,P0040,4,1,open
P0040,P0041,4,1,open
P0041,P0042,10,1,open
P0042,P0043,7,1,open
P0043,P0044,4,1,open
P0044,P0045,7,1,open
P0045,P0046,10,1,open
P0046,P0047,6,1,open
P0047,P0048,3,1,open
P0048,P0049,9,1,open
P0049,P0050,5,1,open
P0001,P0051,10,1,open
P0002,P0052,10,1,open
P0003,P0053,5,1,open
P0004,P0054,1,1,open
P0005,P0055,1,1,open
P0006,P0056,4,1,open
P0007,P0057,5,1,open
P0008,P0058,3,1,open
P0009,P0059,3,1,open
P0010,P0060,8,1,open
P0011,P0061,8,1,open
P0012,P0062,8,1,open
P0013,P0063,6,1,open
P0014,P0064,3,1,open
P0015,P0065,5,1,open
P0016,P0066,3,1,open
P0017,P0067,8,1,open
P0018,P0068,5,1,open
P0019,P0069,8,1,open
P0020,P0070,2,1,open
P0021,P0071,5,1,open
P0022,P0072,2,1,open
P0023,P0073,5,1,open
P0024,P0074,2,1,open
P0025,P0075,3,1,open
P0026,P0076,9,1,open
P0027,P0077,4,1,open
P0028,P0078,2,1,open
P0029,P0079,4,1,open
P0030,P0080,9,1,open
P0031,P0081,6,1,open
P0032,P0082,1,1,open
P0033,P0083,10,1,open
P0034,P0084,3,1,open
P0035,P0085,9,1,open
P0036,P0086,7,1,open
P0037,P0087,7,1,open
P0038,P0088,3,1,open
P0039,P0089,8,1,open
P0040,P0090,6,1,open
P0041,P0091,3,1,open
P0042,P0092,10,1,open
P0043,P0093,4,1,open
P0044,P0094,8,1,open
P0045,P0095,5,1,open
P0046,P0096,4,1,open
P0047,P0097,2,1,open
P0048,P0098,3,1,open
P0049,P0099,1,1,open
P0050,P0100,1,1,open
