from_id,to_id,distance,walk_time,status
P0001,P0002,5,1,open
P0001,P0003,5,1,open
P0001,P0004,1,1,open
P0001,P0005,3,1,open
P0001,P0006,2,1,open
P0001,P0007,3,1,open
P0001,P0008,1,1,open
P0001,P0009,3,1,open
P0001,P0010,4,1,open
P0001,P0011,3,1,open
P0001,P0012,8,1,open
P0001,P0013,10,1,open
P0001,P0014,10,1,open
P0001,P0015,3,1,open
P0001,P0016,2,1,open
P0001,P0017,9,1,open
P0001,P0018,1,1,open
P0001,P0019,4,1,open
P0001,P0020,9,1,open
P0001,P0021,3,1,open
P0001,P0022,2,1,open
P0001,P0023,2,1,open
P0001,P0024,6,1,open
P0001,P0025,4,1,open
P0001,P0026,6,1,open
P0001,P0027,3,1,open
P0001,P0028,6,1,open
P0001,P0029,10,1,open
P0001,P0030,7,1,open
P0001,P0031,8,1,open
P0001,P0032,4,1,open
P0001,P0033,3,1,open
P0001,P0034,6,1,open
P0001,P0035,9,1,open
P0001,P0036,4,1,open
P0001,P0037,10,1,open
P0001,P0038,4,1,open
P0001,P0039,5,1,open
P0001,P0040,9,1,open
P0001,P0041,4,1,open
P0001,P0042,5,1,open
P0001,P0043,6,1,open
P0001,P0044,3,1,open
P0001,P0045,10,1,open
P0001,P0046,8,1,open
P0001,P0047,6,1,open
P0001,P0048,7,1,open
P0001,P0049,1,1,open
P0001,P0050,3,1,open
P0001,P0051,3,1,open
P0001,P0052,2,1,open
P0001,P0053,4,1,open
P0001,P0054,1,1,open
P0001,P0055,6,1,open
P0001,P0056,5,1,open
P0001,P0057,3,1,open
P0001,P0058,10,1,open
P0001,P0059,9,1,open
P0001,P0060,4,1,open
P0001,P0061,8,1,open
P0001,P0062,9,1,open
P0001,P0063,7,1,open
P0001,P0064,8,1,open
P0001,P0065,10,1,open
P0001,P0066,2,1,open
P0001,P0067,7,1,open
P0001,P0068,6,1,open
P0001,P0069,8,1,open
P0001,P0070,3,1,open
P0001,P0071,2,1,open
P0001,P0072,6,1,open
P0001,P0073,3,1,open
P0001,P0074,2,1,open
P0001,P0075,10,1,open
P0001,P0076,6,1,open
P0001,P0077,2,1,open
P0001,P0078,10,1,open
P0001,P0079,1,1,open
P0001,P0080,1,1,open
P0001,P0081,5,1,open
P0001,P0082,2,1,open
P0001,P0083,5,1,open
P0001,P0084,5,1,open
P0001,P0085,6,1,open
P0001,P0086,3,1,open
P0001,P0087,1,1,open
P0001,P0088,8,1,open
P0001,P0089,9,1,open
P0001,P0090,2,1,open
P0001,P0091,10,1,open
P0001,P0092,4,1,open
P0001,P0093,10,1,open
P0001,P0094,1,1,open
P0001,P0095,6,1,open
P0001,P0096,3,1,open
P0001,P0097,9,1,open
P0001,P0098,9,1,open
P0001,P0099,6,1,open
P0001,P0100,6,1,open
