place_id,display_name,category,stay_time,open_time,close_time
P0001,Place_P0001,Dining,10,00:00,23:59
P0002,Place_P0002,Medical,52,00:00,23:59
P0003,Place_P0003,Medical,9,00:00,23:59
P0004,Place_P0004,Medical,50,00:00,23:59
P0005,Place_P0005,Other,25,00:00,23:59
P0006,Place_P0006,Teaching,44,00:00,23:59
P0007,Place_P0007,Medical,15,00:00,23:59
P0008,Place_P0008,Other,34,00:00,23:59
P0009,Place_P0009,Dormitory,11,00:00,23:59
P0010,Place_P0010,Sports,53,00:00,23:59
P0011,Place_P0011,Sports,40,00:00,23:59
P0012,Place_P0012,Teaching,59,00:00,23:59
P0013,Place_P0013,Medical,38,00:00,23:59
P0014,Place_P0014,Teaching,37,00:00,23:59
P0015,Place_P0015,Teaching,4,00:00,23:59
P0016,Place_P0016,Other,59,00:00,23:59
P0017,Place_P0017,Medical,7,00:00,23:59
P0018,Place_P0018,Dining,2,00:00,23:59
P0019,Place_P0019,Sports,13,00:00,23:59
P0020,Place_P0020,Dining,43,00:00,23:59
P0021,Place_P0021,Other,29,00:00,23:59
P0022,Place_P0022,Sports,15,00:00,23:59
P0023,Place_P0023,Dormitory,37,00:00,23:59
P0024,Place_P0024,Dining,50,00:00,23:59
P0025,Place_P0025,Teaching,36,00:00,23:59
P0026,Place_P0026,Teaching,25,00:00,23:59
P0027,Place_P0027,Dining,52,00:00,23:59
P0028,Place_P0028,Teaching,6,00:00,23:59
P0029,Place_P0029,Other,0,00:00,23:59
P0030,Place_P0030,Other,56,00:00,23:59
P0031,Place_P0031,Teaching,58,00:00,23:59
P0032,Place_P0032,Other,0,00:00,23:59
P0033,Place_P0033,Other,42,00:00,23:59
P0034,Place_P0034,Dormitory,51,00:00,23:59
P0035,Place_P0035,Medical,15,00:00,23:59
P0036,Place_P0036,Other,54,00:00,23:59
P0037,Place_P0037,Other,56,00:00,23:59
P0038,Place_P0038,Dormitory,15,00:00,23:59
P0039,Place_P0039,Sports,30,00:00,23:59
P0040,Place_P0040,Medical,50,00:00,23:59
P0041,Place_P0041,Sports,30,00:00,23:59
P0042,Place_P0042,Medical,35,00:00,23:59
P0043,Place_P0043,Other,55,00:00,23:59
P0044,Place_P0044,Teaching,39,00:00,23:59
P0045,Place_P0045,Dining,17,00:00,23:59
P0046,Place_P0046,Medical,27,00:00,23:59
P0047,Place_P0047,Teaching,20,00:00,23:59
P0048,Place_P0048,Sports,45,00:00,23:59
P0049,Place_P0049,Sports,47,00:00,23:59
P0050,Place_P0050,Teaching,38,00:00,23:59
P0051,Place_P0051,Sports,0,00:00,23:59
P0052,Place_P0052,Dormitory,35,00:00,23:59
P0053,Place_P0053,Medical,13,00:00,23:59
P0054,Place_P0054,Teaching,51,00:00,23:59
P0055,Place_P0055,Medical,32,00:00,23:59
P0056,Place_P0056,Other,49,00:00,23:59
P0057,Place_P0057,Dormitory,42,00:00,23:59
P0058,Place_P0058,Medical,12,00:00,23:59
P0059,Place_P0059,Dining,35,00:00,23:59
P0060,Place_P0060,Dormitory,39,00:00,23:59
P0061,Place_P0061,Medical,43,00:00,23:59
P0062,Place_P0062,Dormitory,39,00:00,23:59
P0063,Place_P0063,Medical,19,00:00,23:59
P0064,Place_P0064,Other,15,00:00,23:59
P0065,Place_P0065,Sports,13,00:00,23:59
P0066,Place_P0066,Other,44,00:00,23:59
P0067,Place_P0067,Dormitory,37,00:00,23:59
P0068,Place_P0068,Dining,21,00:00,23:59
P0069,Place_P0069,Teaching,53,00:00,23:59
P0070,Place_P0070,Sports,47,00:00,23:59
P0071,Place_P0071,Sports,27,00:00,23:59
P0072,Place_P0072,Dining,20,00:00,23:59
P0073,Place_P0073,Teaching,11,00:00,23:59
P0074,Place_P0074,Dining,33,00:00,23:59
P0075,Place_P0075,Sports,57,00:00,23:59
P0076,Place_P0076,Dining,14,00:00,23:59
P0077,Place_P0077,Dormitory,48,00:00,23:59
P0078,Place_P0078,Other,26,00:00,23:59
P0079,Place_P0079,Dining,36,00:00,23:59
P0080,Place_P0080,Medical,54,00:00,23:59
P0081,Place_P0081,Teaching,1,00:00,23:59
P0082,Place_P0082,Medical,7,00:00,23:59
P0083,Place_P0083,Sports,8,00:00,23:59
P0084,Place_P0084,Dining,4,00:00,23:59
P0085,Place_P0085,Dining,52,00:00,23:59
P0086,Place_P0086,Teaching,15,00:00,23:59
P0087,Place_P0087,Dormitory,15,00:00,23:59
P0088,Place_P0088,Other,13,00:00,23:59
P0089,Place_P0089,Teaching,7,00:00,23:59
