from_id,to_id,distance,walk_time,status
P0084,P0025,152,2,open
P0085,P0047,96,2,open
P0085,P0045,312,4,open
P0047,P0045,281,4,open
P0047,P0087,318,4,open
P0047,P0018,323,5,open
P0047,P0025,532,7,open
P0025,P0018,98,2,open
P0025,P0026,143,2,open
P0025,P0003,251,4,open
P0003,P0002,85,2,open
P0087,P0045,145,2,open
P0087,P0018,226,3,open
P0026,P0018,112,2,open
P0026,P0002,96,2,open
P0026,P0007,346,5,open
P0026,P0001,412,6,open
P0002,P0001,348,5,open
P0002,P0083,261,4,open
P0083,P0001,187,3,open
P0001,P0007,162,3,open
P0001,P0006,198,3,open
P0045,P0018,442,6,open
P0045,P0007,541,7,open
P0018,P0007,437,6,open
P0007,P0006,47,1,open
