place_id,display_name,category,stay_time,open_time,close_time
P0001,Place_P0001,Medical,1,00:00,23:59
P0002,Place_P0002,Dormitory,51,00:00,23:59
P0003,Place_P0003,Teaching,5,00:00,23:59
P0004,Place_P0004,Other,38,00:00,23:59
P0005,Place_P0005,Medical,2,00:00,23:59
P0006,Place_P0006,Medical,59,00:00,23:59
P0007,Place_P0007,Other,44,00:00,23:59
P0008,Place_P0008,Other,10,00:00,23:59
P0009,Place_P0009,Medical,3,00:00,23:59
P0010,Place_P0010,Dormitory,29,00:00,23:59
P0011,Place_P0011,Dining,4,00:00,23:59
P0012,Place_P0012,Other,27,00:00,23:59
P0013,Place_P0013,Teaching,22,00:00,23:59
P0014,Place_P0014,Dining,27,00:00,23:59
P0015,Place_P0015,Sports,42,00:00,23:59
P0016,Place_P0016,Dormitory,19,00:00,23:59
P0017,Place_P0017,Sports,26,00:00,23:59
P0018,Place_P0018,Dining,30,00:00,23:59
P0019,Place_P0019,Sports,16,00:00,23:59
P0020,Place_P0020,Other,45,00:00,23:59
P0021,Place_P0021,Teaching,29,00:00,23:59
P0022,Place_P0022,Sports,15,00:00,23:59
P0023,Place_P0023,Other,39,00:00,23:59
P0024,Place_P0024,Sports,8,00:00,23:59
P0025,Place_P0025,Dining,53,00:00,23:59
P0026,Place_P0026,Medical,10,00:00,23:59
P0027,Place_P0027,Sports,13,00:00,23:59
P0028,Place_P0028,Dining,60,00:00,23:59
P0029,Place_P0029,Medical,18,00:00,23:59
P0030,Place_P0030,Medical,51,00:00,23:59
P0031,Place_P0031,Sports,42,00:00,23:59
P0032,Place_P0032,Dormitory,49,00:00,23:59
P0033,Place_P0033,Other,0,00:00,23:59
P0034,Place_P0034,Teaching,26,00:00,23:59
P0035,Place_P0035,Dormitory,10,00:00,23:59
P0036,Place_P0036,Other,46,00:00,23:59
P0037,Place_P0037,Other,22,00:00,23:59
P0038,Place_P0038,Medical,60,00:00,23:59
P0039,Place_P0039,Sports,39,00:00,23:59
P0040,Place_P0040,Medical,21,00:00,23:59
P0041,Place_P0041,Dormitory,6,00:00,23:59
P0042,Place_P0042,Sports,2,00:00,23:59
P0043,Place_P0043,Teaching,17,00:00,23:59
P0044,Place_P0044,Dormitory,47,00:00,23:59
P0045,Place_P0045,Medical,51,00:00,23:59
P0046,Place_P0046,Sports,23,00:00,23:59
P0047,Place_P0047,Dining,48,00:00,23:59
P0048,Place_P0048,Teaching,59,00:00,23:59
P0049,Place_P0049,Medical,59,00:00,23:59
P0050,Place_P0050,Other,28,00:00,23:59
P0051,Place_P0051,Teaching,23,00:00,23:59
P0052,Place_P0052,Other,52,00:00,23:59
P0053,Place_P0053,Dining,20,00:00,23:59
P0054,Place_P0054,Dining,24,00:00,23:59
P0055,Place_P0055,Dining,10,00:00,23:59
P0056,Place_P0056,Other,11,00:00,23:59
P0057,Place_P0057,Teaching,12,00:00,23:59
P0058,Place_P0058,Dining,36,00:00,23:59
P0059,Place_P0059,Other,33,00:00,23:59
P0060,Place_P0060,Teaching,48,00:00,23:59
P0061,Place_P0061,Dining,32,00:00,23:59
P0062,Place_P0062,Dining,2,00:00,23:59
P0063,Place_P0063,Medical,21,00:00,23:59
P0064,Place_P0064,Medical,5,00:00,23:59
P0065,Place_P0065,Sports,5,00:00,23:59
P0066,Place_P0066,Medical,47,00:00,23:59
P0067,Place_P0067,Dormitory,22,00:00,23:59
P0068,Place_P0068,Sports,37,00:00,23:59
P0069,Place_P0069,Teaching,13,00:00,23:59
P0070,Place_P0070,Dormitory,43,00:00,23:59
P0071,Place_P0071,Teaching,36,00:00,23:59
P0072,Place_P0072,Dormitory,26,00:00,23:59
