from_id,to_id,distance,walk_time,status
P0001,P0002,205,3,open
P0002,P0003,89,2,open
P0003,P0004,109,2,open
P0004,P0005,136,2,open
P0005,P0006,249,4,open
P0006,P0007,171,3,open
P0007,P0008,206,3,open
P0008,P0009,158,2,open
P0009,P0010,99,2,open
P0010,P0011,71,1,open
P0011,P0012,63,1,open
P0012,P0013,159,2,open
P0013,P0014,139,2,open
P0014,P0015,110,2,open
P0015,P0016,131,2,open
P0016,P0017,210,3,open
P0017,P0018,205,3,open
P0018,P0019,150,2,open
P0019,P0020,124,2,open
P0020,P0021,290,4,open
P0021,P0022,70,1,open
P0022,P0023,232,3,open
P0023,P0024,190,3,open
P0024,P0025,119,2,open
P0025,P0026,269,4,open
P0026,P0027,159,2,open
P0027,P0028,134,2,open
P0028,P0029,144,2,open
P0029,P0030,289,4,open
P0030,P0031,170,3,open
P0031,P0032,66,1,open
P0032,P0033,130,2,open
P0033,P0034,51,1,open
P0034,P0035,118,2,open
P0035,P0036,288,4,open
P0036,P0037,73,1,open
P0037,P0038,149,2,open
P0038,P0039,114,2,open
P0039,P0040,98,2,open
P0040,P0041,227,3,open
P0041,P0042,54,1,open
P0042,P0043,115,2,open
P0043,P0044,170,3,open
P0044,P0045,138,2,open
P0045,P0046,246,4,open
P0046,P0047,236,3,open
P0047,P0048,154,2,open
P0048,P0049,58,1,open
P0049,P0050,76,1,open
P0050,P0051,138,2,open
P0051,P0052,149,2,open
P0052,P0053,191,3,open
P0053,P0054,161,3,open
P0054,P0055,242,4,open
P0055,P0056,84,2,open
P0056,P0057,299,4,open
P0057,P0058,144,2,open
P0058,P0059,283,4,open
P0059,P0060,149,2,open
P0060,P0061,99,2,open
P0061,P0062,67,1,open
P0062,P0063,138,2,open
P0063,P0064,145,2,open
P0064,P0065,152,2,open
P0065,P0066,283,4,open
P0066,P0067,53,1,open
P0067,P0068,180,3,open
P0068,P0069,83,2,open
P0069,P0070,280,4,open
P0070,P0071,298,4,open
P0071,P0072,106,2,open
P0072,P0073,200,3,open
P0073,P0074,218,3,open
P0074,P0075,61,1,open
P0075,P0076,146,2,open
P0076,P0077,162,3,open
P0077,P0078,276,4,open
P0078,P0079,255,4,open
P0079,P0080,263,4,open
P0080,P0081,134,2,open
P0081,P0082,191,3,open
P0082,P0083,132,2,open
P0083,P0084,296,4,open
P0084,P0085,274,4,open
P0085,P0086,129,2,open
P0086,P0087,261,4,open
P0087,P0088,84,2,open
P0088,P0089,165,3,open
P0089,P0090,189,3,open
P0090,P0091,257,4,open
P0091,P0092,207,3,open
P0092,P0093,213,3,open
P0093,P0094,235,3,open
P0094,P0095,269,4,open
P0095,P0096,86,2,open
P0096,P0097,112,2,open
P0097,P0098,111,2,open
P0098,P0099,146,2,open
P0099,P0100,93,2,open
P0100,P0101,250,4,open
P0101,P0102,239,3,open
P0102,P0103,202,3,open
P0103,P0104,272,4,open
P0104,P0105,246,4,open
P0105,P0106,233,3,open
P0106,P0107,245,4,open
P0107,P0108,112,2,open
P0108,P0109,231,3,open
P0109,P0110,160,2,open
P0110,P0111,175,3,open
P0111,P0112,280,4,open
P0112,P0113,233,3,open
P0113,P0114,171,3,open
P0114,P0115,65,1,open
P0115,P0116,235,3,open
P0116,P0117,124,2,open
P0117,P0118,93,2,open
P0118,P0119,61,1,open
P0119,P0120,120,2,open
P0120,P0121,107,2,open
P0121,P0122,212,3,open
P0122,P0123,236,3,open
P0123,P0124,209,3,open
P0124,P0125,227,3,open
P0125,P0126,295,4,open
P0126,P0127,288,4,open
P0127,P0128,240,3,open
P0128,P0129,162,3,open
P0129,P0130,73,1,open
P0130,P0131,247,4,open
P0131,P0132,110,2,open
P0132,P0133,214,3,open
P0133,P0134,205,3,open
P0134,P0135,136,2,open
P0135,P0136,201,3,open
P0136,P0137,146,2,open
P0137,P0138,298,4,open
P0138,P0139,173,3,open
P0139,P0140,237,3,open
P0140,P0141,159,2,open
P0141,P0142,268,4,open
P0142,P0143,196,3,open
P0143,P0144,72,1,open
P0144,P0145,250,4,open
P0145,P0146,157,2,open
P0146,P0147,124,2,open
P0147,P0148,260,4,open
P0148,P0149,86,2,open
P0149,P0150,278,4,open
P0150,P0151,288,4,open
P0151,P0152,77,1,open
P0152,P0153,221,3,open
P0153,P0154,232,3,open
P0154,P0155,158,2,open
P0155,P0156,290,4,open
P0156,P0157,113,2,open
P0157,P0158,105,2,open
