from_id,to_id,distance,walk_time,status
P0002,P0001,7,1,open
P0003,P0001,8,1,open
P0004,P0003,3,1,open
P0005,P0002,6,1,open
P0006,P0002,6,1,open
P0007,P0002,4,1,open
P0008,P0001,3,1,open
P0009,P0001,2,1,open
P0010,P0008,7,1,open
P0011,P0008,6,1,open
P0012,P0008,1,1,open
P0013,P0009,10,1,open
P0014,P0011,6,1,open
P0015,P0010,10,1,open
P0016,P0007,8,1,open
P0017,P0010,5,1,open
P0018,P0013,2,1,open
P0019,P0002,9,1,open
P0020,P0010,6,1,open
P0021,P0020,9,1,open
P0022,P0009,5,1,open
P0023,P0022,6,1,open
P0024,P0003,3,1,open
P0025,P0008,1,1,open
P0026,P0016,3,1,open
P0027,P0016,5,1,open
P0028,P0003,2,1,open
P0029,P0018,4,1,open
P0030,P0009,3,1,open
P0031,P0017,3,1,open
P0032,P0028,3,1,open
P0033,P0027,8,1,open
P0034,P0030,3,1,open
P0035,P0030,6,1,open
P0036,P0029,9,1,open
P0037,P0023,3,1,open
P0038,P0018,6,1,open
P0039,P0006,4,1,open
P0040,P0017,4,1,open
P0041,P0037,1,1,open
P0042,P0040,8,1,open
P0043,P0013,5,1,open
P0044,P0003,2,1,open
P0045,P0033,9,1,open
P0046,P0026,2,1,open
P0047,P0017,2,1,open
P0048,P0025,4,1,open
P0049,P0033,3,1,open
P0050,P0027,9,1,open
P0051,P0029,2,1,open
P0052,P0033,2,1,open
P0053,P0026,7,1,open
P0054,P0053,4,1,open
P0055,P0048,2,1,open
P0056,P0041,7,1,open
P0057,P0015,2,1,open
P0058,P0036,10,1,open
P0059,P0027,5,1,open
P0060,P0022,4,1,open
P0061,P0032,8,1,open
P0062,P0012,1,1,open
P0063,P0004,6,1,open
P0064,P0025,7,1,open
P0065,P0006,6,1,open
P0066,P0039,3,1,open
P0067,P0042,3,1,open
P0068,P0021,9,1,open
P0069,P0052,1,1,open
P0070,P0053,10,1,open
P0071,P0060,2,1,open
P0072,P0068,3,1,open
P0073,P0014,2,1,open
P0074,P0018,10,1,open
P0075,P0069,5,1,open
P0076,P0025,7,1,open
P0077,P0004,10,1,open
P0078,P0006,6,1,open
P0079,P0043,2,1,open
P0080,P0009,7,1,open
P0081,P0060,3,1,open
P0082,P0023,8,1,open
P0083,P0001,10,1,open
P0084,P0062,1,1,open
P0085,P0028,1,1,open
P0086,P0051,2,1,open
P0087,P0085,9,1,open
P0088,P0014,1,1,open
P0089,P0007,9,1,open
P0090,P0025,1,1,open
P0091,P0063,4,1,open
P0092,P0077,10,1,open
P0093,P0066,10,1,open
P0094,P0050,5,1,open
P0095,P0064,2,1,open
P0096,P0064,5,1,open
P0097,P0002,7,1,open
P0098,P0082,9,1,open
P0099,P0065,3,1,open
P0100,P0024,3,1,open
P0101,P0095,7,1,open
P0102,P0092,10,1,open
P0103,P0038,5,1,open
P0104,P0056,5,1,open
P0105,P0049,4,1,open
P0106,P0062,4,1,open
P0107,P0081,7,1,open
P0108,P0006,9,1,open
P0109,P0081,2,1,open
P0110,P0051,7,1,open
P0111,P0007,1,1,open
P0112,P0044,8,1,open
P0113,P0018,6,1,open
P0114,P0105,2,1,open
P0115,P0033,7,1,open
P0116,P0071,8,1,open
P0117,P0024,2,1,open
P0118,P0049,3,1,open
P0119,P0015,5,1,open
P0120,P0046,5,1,open
P0121,P0044,5,1,open
P0122,P0061,2,1,open
P0123,P0114,6,1,open
P0124,P0076,8,1,open
P0125,P0070,4,1,open
P0126,P0064,9,1,open
P0127,P0081,1,1,open
P0128,P0014,8,1,open
P0129,P0012,3,1,open
P0130,P0088,9,1,open
P0131,P0092,2,1,open
P0132,P0087,3,1,open
P0133,P0083,6,1,open
P0134,P0037,7,1,open
P0135,P0066,6,1,open
P0136,P0120,4,1,open
P0137,P0130,10,1,open
P0138,P0128,6,1,open
P0139,P0085,9,1,open
P0140,P0139,1,1,open
P0141,P0022,6,1,open
P0142,P0066,5,1,open
P0143,P0134,7,1,open
P0144,P0130,5,1,open
P0145,P0053,7,1,open
P0146,P0035,2,1,open
P0147,P0039,9,1,open
P0148,P0145,9,1,open
P0149,P0130,3,1,open
P0150,P0139,1,1,open
P0151,P0099,4,1,open
P0152,P0079,1,1,open
P0153,P0015,3,1,open
P0154,P0067,2,1,open
P0155,P0111,3,1,open
P0156,P0139,2,1,open
P0157,P0073,2,1,open
P0158,P0111,7,1,open
P0159,P0003,8,1,open
P0160,P0152,7,1,open
P0161,P0085,1,1,open
P0162,P0150,1,1,open
P0163,P0029,5,1,open
P0164,P0029,8,1,open
P0165,P0127,8,1,open
P0166,P0028,4,1,open
P0167,P0120,5,1,open
P0168,P0111,3,1,open
P0169,P0050,9,1,open
P0170,P0019,2,1,open
P0171,P0042,10,1,open
P0172,P0080,7,1,open
P0173,P0120,10,1,open
P0174,P0170,10,1,open
P0175,P0092,3,1,open
P0176,P0046,9,1,open
P0177,P0172,1,1,open
P0178,P0005,9,1,open
P0179,P0126,2,1,open
P0180,P0135,2,1,open
P0181,P0021,1,1,open
P0182,P0010,6,1,open
P0183,P0077,10,1,open
P0184,P0078,2,1,open
P0185,P0170,2,1,open
P0186,P0030,6,1,open
P0187,P0115,2,1,open
P0188,P0108,10,1,open
P0189,P0004,9,1,open
P0190,P0085,5,1,open
P0191,P0099,2,1,open
P0192,P0008,10,1,open
P0193,P0024,4,1,open
P0194,P0174,2,1,open
P0195,P0181,9,1,open
P0196,P0021,3,1,open
P0197,P0146,9,1,open
P0198,P0041,9,1,open
P0199,P0165,2,1,open
P0200,P0124,4,1,open
P0201,P0129,4,1,open
P0202,P0115,3,1,open
P0203,P0002,2,1,open
P0204,P0105,9,1,open
P0205,P0191,10,1,open
P0206,P0075,4,1,open
P0207,P0093,6,1,open
P0208,P0061,3,1,open
P0209,P0067,8,1,open
P0210,P0153,4,1,open
P0211,P0139,3,1,open
P0212,P0121,8,1,open
P0213,P0097,3,1,open
P0214,P0026,9,1,open
P0215,P0156,5,1,open
P0216,P0055,2,1,open
P0217,P0054,6,1,open
P0218,P0077,10,1,open
P0219,P0203,8,1,open
P0220,P0063,8,1,open
P0221,P0036,9,1,open
P0222,P0028,9,1,open
P0223,P0113,6,1,open
P0224,P0163,5,1,open
P0225,P0171,10,1,open
P0226,P0045,1,1,open
P0227,P0216,8,1,open
P0228,P0107,2,1,open
P0229,P0053,1,1,open
P0230,P0004,5,1,open
P0231,P0109,5,1,open
P0232,P0129,9,1,open
P0233,P0143,3,1,open
P0234,P0166,3,1,open
P0235,P0184,7,1,open
P0236,P0204,1,1,open
P0237,P0055,1,1,open
P0238,P0120,4,1,open
P0239,P0126,4,1,open
P0240,P0066,9,1,open
P0241,P0013,9,1,open
P0242,P0064,10,1,open
P0243,P0168,3,1,open
P0244,P0237,10,1,open
P0245,P0128,2,1,open
P0246,P0173,9,1,open
P0247,P0066,7,1,open
P0248,P0109,3,1,open
P0249,P0087,10,1,open
P0250,P0228,10,1,open
P0251,P0006,6,1,open
P0252,P0207,6,1,open
P0253,P0163,1,1,open
P0254,P0042,10,1,open
P0255,P0007,2,1,open
P0256,P0009,4,1,open
P0257,P0115,1,1,open
P0258,P0083,4,1,open
P0259,P0114,8,1,open
P0260,P0050,9,1,open
P0261,P0027,1,1,open
P0262,P0167,3,1,open
P0263,P0072,9,1,open
P0264,P0050,8,1,open
P0265,P0192,4,1,open
P0266,P0135,6,1,open
P0267,P0124,4,1,open
P0268,P0166,7,1,open
P0269,P0039,3,1,open
P0270,P0198,8,1,open
P0271,P0099,10,1,open
P0272,P0213,3,1,open
P0273,P0237,5,1,open
P0274,P0127,5,1,open
P0275,P0125,9,1,open
P0276,P0235,8,1,open
P0277,P0087,8,1,open
P0278,P0215,7,1,open
P0279,P0078,1,1,open
P0280,P0111,3,1,open
P0281,P0278,9,1,open
P0282,P0071,1,1,open
P0283,P0210,9,1,open
P0284,P0188,6,1,open
P0285,P0242,7,1,open
P0286,P0180,10,1,open
P0287,P0099,9,1,open
P0288,P0195,7,1,open
P0289,P0007,7,1,open
P0290,P0207,6,1,open
P0291,P0242,8,1,open
P0292,P0070,1,1,open
P0293,P0015,7,1,open
P0294,P0248,8,1,open
P0295,P0224,8,1,open
P0296,P0097,7,1,open
P0297,P0250,9,1,open
P0298,P0234,3,1,open
P0299,P0068,5,1,open
P0300,P0021,10,1,open
P0301,P0065,6,1,open
P0302,P0078,1,1,open
P0303,P0092,6,1,open
P0304,P0031,5,1,open
P0305,P0069,9,1,open
P0306,P0104,10,1,open
P0307,P0010,10,1,open
P0308,P0296,6,1,open
P0309,P0207,7,1,open
P0310,P0102,8,1,open
P0311,P0033,5,1,open
P0312,P0001,5,1,open
P0313,P0154,1,1,open
P0314,P0282,6,1,open
P0315,P0176,2,1,open
P0316,P0043,7,1,open
P0317,P0045,10,1,open
P0318,P0173,5,1,open
P0319,P0261,4,1,open
P0320,P0049,3,1,open
P0321,P0054,10,1,open
P0322,P0087,9,1,open
P0323,P0032,9,1,open
P0324,P0232,8,1,open
P0325,P0307,6,1,open
P0326,P0237,1,1,open
P0327,P0078,10,1,open
P0328,P0258,2,1,open
P0329,P0059,2,1,open
P0330,P0268,3,1,open
P0331,P0315,4,1,open
P0332,P0086,2,1,open
P0333,P0210,3,1,open
P0334,P0319,10,1,open
P0335,P0049,2,1,open
P0336,P0036,5,1,open
P0337,P0195,5,1,open
P0338,P0135,9,1,open
P0339,P0283,7,1,open
P0340,P0160,7,1,open
P0341,P0046,4,1,open
P0342,P0096,10,1,open
P0343,P0095,5,1,open
P0344,P0107,2,1,open
P0345,P0008,8,1,open
P0346,P0209,7,1,open
P0347,P0019,7,1,open
P0348,P0120,2,1,open
P0349,P0321,2,1,open
P0350,P0171,6,1,open
P0351,P0242,7,1,open
P0352,P0249,9,1,open
P0353,P0104,1,1,open
P0354,P0319,7,1,open
P0355,P0288,5,1,open
P0356,P0309,8,1,open
P0357,P0191,1,1,open
P0358,P0064,3,1,open
P0359,P0279,3,1,open
P0360,P0083,7,1,open
P0361,P0283,9,1,open
P0362,P0245,8,1,open
P0363,P0344,10,1,open
P0364,P0315,5,1,open
P0365,P0316,8,1,open
P0366,P0040,10,1,open
P0367,P0088,7,1,open
P0368,P0224,9,1,open
P0369,P0133,6,1,open
P0370,P0187,1,1,open
P0371,P0247,9,1,open
P0372,P0362,5,1,open
P0373,P0180,2,1,open
P0374,P0252,3,1,open
P0375,P0283,5,1,open
P0376,P0337,10,1,open
P0377,P0079,2,1,open
P0378,P0055,6,1,open
P0379,P0346,2,1,open
P0380,P0118,1,1,open
P0381,P0304,10,1,open
P0382,P0057,8,1,open
P0383,P0347,9,1,open
P0384,P0371,1,1,open
P0385,P0106,9,1,open
P0386,P0248,10,1,open
P0387,P0316,4,1,open
