from_id,to_id,distance,walk_time,status
P0001,P0002,7,1,open
P0001,P0011,2,1,open
P0002,P0003,3,1,open
P0002,P0012,7,1,open
P0003,P0004,6,1,open
P0003,P0013,9,1,open
P0004,P0005,10,1,open
P0004,P0014,10,1,open
P0005,P0006,2,1,open
P0005,P0015,5,1,open
P0006,P0007,7,1,open
P0006,P0016,9,1,open
P0007,P0008,10,1,open
P0007,P0017,6,1,open
P0008,P0009,3,1,open
P0008,P0018,6,1,open
P0009,P0010,8,1,open
P0009,P0019,4,1,open
P0010,P0020,6,1,open
P0011,P0012,1,1,open
P0011,P0021,9,1,open
P0012,P0013,7,1,open
P0012,P0022,2,1,open
P0013,P0014,7,1,open
P0013,P0023,10,1,open
P0014,P0015,3,1,open
P0014,P0024,1,1,open
P0015,P0016,7,1,open
P0015,P0025,6,1,open
P0016,P0017,10,1,open
P0016,P0026,7,1,open
P0017,P0018,7,1,open
P0017,P0027,10,1,open
P0018,P0019,8,1,open
P0018,P0028,8,1,open
P0019,P0020,9,1,open
P0019,P0029,4,1,open
P0020,P0030,1,1,open
P0021,P0022,9,1,open
P0021,P0031,5,1,open
P0022,P0023,4,1,open
P0022,P0032,9,1,open
P0023,P0024,1,1,open
P0023,P0033,1,1,open
P0024,P0025,8,1,open
P0024,P0034,10,1,open
P0025,P0026,1,1,open
P0025,P0035,2,1,open
P0026,P0027,4,1,open
P0026,P0036,2,1,open
P0027,P0028,9,1,open
P0027,P0037,5,1,open
P0028,P0029,6,1,open
P0028,P0038,8,1,open
P0029,P0030,8,1,open
P0029,P0039,1,1,open
P0030,P0040,6,1,open
P0031,P0032,8,1,open
P0031,P0041,3,1,open
P0032,P0033,7,1,open
P0032,P0042,4,1,open
P0033,P0034,3,1,open
P0033,P0043,7,1,open
P0034,P0035,5,1,open
P0034,P0044,4,1,open
P0035,P0036,7,1,open
P0035,P0045,9,1,open
P0036,P0037,8,1,open
P0036,P0046,2,1,open
P0037,P0038,7,1,open
P0037,P0047,9,1,open
P0038,P0039,4,1,open
P0038,P0048,6,1,open
P0039,P0040,10,1,open
P0039,P0049,8,1,open
P0040,P0050,7,1,open
P0041,P0042,5,1,open
P0041,P0051,10,1,open
P0042,P0043,9,1,open
P0042,P0052,4,1,open
P0043,P0044,9,1,open
P0043,P0053,9,1,open
P0044,P0045,4,1,open
P0044,P0054,7,1,open
P0045,P0046,5,1,open
P0045,P0055,7,1,open
P0046,P0047,4,1,open
P0046,P0056,7,1,open
P0047,P0048,8,1,open
P0047,P0057,9,1,open
P0048,P0049,1,1,open
P0048,P0058,7,1,open
P0049,P0050,3,1,open
P0049,P0059,1,1,open
P0050,P0060,8,1,open
P0051,P0052,3,1,open
P0051,P0061,10,1,open
P0052,P0053,7,1,open
P0052,P0062,7,1,open
P0053,P0054,1,1,open
P0053,P0063,3,1,open
P0054,P0055,1,1,open
P0054,P0064,9,1,open
P0055,P0056,9,1,open
P0055,P0065,2,1,open
P0056,P0057,1,1,open
P0056,P0066,6,1,open
P0057,P0058,6,1,open
P0057,P0067,1,1,open
P0058,P0059,3,1,open
P0058,P0068,10,1,open
P0059,P0060,5,1,open
P0059,P0069,9,1,open
P0060,P0070,4,1,open
P0061,P0062,9,1,open
P0061,P0071,5,1,open
P0062,P0063,6,1,open
P0062,P0072,8,1,open
P0063,P0064,5,1,open
P0063,P0073,10,1,open
P0064,P0065,5,1,open
P0064,P0074,9,1,open
P0065,P0066,2,1,open
P0065,P0075,9,1,open
P0066,P0067,5,1,open
P0066,P0076,7,1,open
P0067,P0068,10,1,open
P0067,P0077,6,1,open
P0068,P0069,10,1,open
P0068,P0078,5,1,open
P0069,P0070,3,1,open
P0069,P0079,7,1,open
P0070,P0080,3,1,open
P0071,P0072,7,1,open
P0071,P0081,5,1,open
P0072,P0073,4,1,open
P0072,P0082,8,1,open
P0073,P0074,6,1,open
P0073,P0083,8,1,open
P0074,P0075,10,1,open
P0074,P0084,2,1,open
P0075,P0076,6,1,open
P0075,P0085,2,1,open
P0076,P0077,8,1,open
P0076,P0086,6,1,open
P0077,P0078,3,1,open
P0077,P0087,3,1,open
P0078,P0079,6,1,open
P0078,P0088,10,1,open
P0079,P0080,2,1,open
P0079,P0089,4,1,open
P0080,P0090,7,1,open
P0081,P0082,10,1,open
P0081,P0091,4,1,open
P0082,P0083,9,1,open
P0082,P0092,2,1,open
P0083,P0084,3,1,open
P0083,P0093,9,1,open
P0084,P0085,2,1,open
P0084,P0094,1,1,open
P0085,P0086,2,1,open
P0085,P0095,10,1,open
P0086,P0087,6,1,open
P0086,P0096,1,1,open
P0087,P0088,2,1,open
P0087,P0097,1,1,open
P0088,P0089,9,1,open
P0088,P0098,3,1,open
P0089,P0090,2,1,open
P0089,P0099,10,1,open
P0090,P0100,4,1,open
P0091,P0092,7,1,open
P0092,P0093,8,1,open
P0093,P0094,3,1,open
P0094,P0095,7,1,open
P0095,P0096,4,1,open
P0096,P0097,1,1,open
P0097,P0098,8,1,open
P0098,P0099,4,1,open
P0099,P0100,9,1,open
