from_id,to_id,distance,walk_time,status
P0001,P0322,203,3,open
P0001,P0331,245,4,open
P0001,P0411,167,3,open
P0001,P0436,51,1,open
P0001,P0890,70,1,open
P0001,P0949,133,2,open
P0002,P0135,50,1,open
P0002,P0215,253,4,open
P0002,P0513,144,2,open
P0002,P0766,56,1,open
P0002,P0873,74,1,open
P0002,P0953,269,4,open
P0002,P0961,237,3,open
P0003,P0330,109,2,open
P0003,P0359,236,3,open
P0003,P0561,274,4,open
P0004,P0513,174,3,open
P0004,P0818,240,3,open
P0005,P0334,266,4,open
P0005,P0513,134,2,open
P0005,P0787,99,2,open
P0005,P0818,273,4,open
P0006,P0282,147,2,open
P0006,P0350,103,2,open
P0006,P0419,92,2,open
P0006,P0729,286,4,open
P0007,P0357,173,3,open
P0007,P0470,293,4,open
P0007,P0589,179,3,open
P0007,P0681,147,2,open
P0007,P0923,92,2,open
P0008,P0600,135,2,open
P0008,P0733,116,2,open
P0008,P0908,201,3,open
P0009,P0212,87,2,open
P0009,P0334,224,3,open
P0009,P0459,169,3,open
P0009,P0577,78,1,open
P0009,P0636,283,4,open
P0009,P0684,154,2,open
P0009,P0795,273,4,open
P0010,P0352,299,4,open
P0010,P0455,135,2,open
P0010,P0740,139,2,open
P0011,P0102,224,3,open
P0011,P0240,283,4,open
P0011,P0320,132,2,open
P0011,P0558,108,2,open
P0012,P0089,232,3,open
P0012,P0274,208,3,open
P0012,P0546,221,3,open
P0012,P0744,293,4,open
P0012,P0789,154,2,open
P0013,P0759,70,1,open
P0013,P0884,178,3,open
P0014,P0190,299,4,open
P0014,P0588,211,3,open
P0014,P0682,95,2,open
P0014,P0980,294,4,open
P0014,P0987,57,1,open
P0015,P0193,191,3,open
P0015,P0596,264,4,open
P0016,P0036,90,2,open
P0016,P0072,249,4,open
P0016,P0692,115,2,open
P0016,P0695,55,1,open
P0016,P0812,249,4,open
P0017,P0192,91,2,open
P0017,P0244,216,3,open
P0017,P0702,72,1,open
P0018,P0113,101,2,open
P0018,P0142,62,1,open
P0018,P0251,208,3,open
P0018,P0273,55,1,open
P0018,P0318,142,2,open
P0018,P0692,291,4,open
P0018,P0738,291,4,open
P0019,P0601,129,2,open
P0019,P0603,125,2,open
P0019,P0886,108,2,open
P0020,P0238,164,3,open
P0020,P0299,218,3,open
P0020,P0400,215,3,open
P0020,P0485,82,2,open
P0021,P0952,53,1,open
P0021,P0980,229,3,open
P0022,P0056,132,2,open
P0022,P0350,124,2,open
P0022,P0767,132,2,open
P0022,P0781,284,4,open
P0022,P0841,111,2,open
P0023,P0212,255,4,open
P0023,P0359,228,3,open
P0023,P0611,294,4,open
P0023,P0615,193,3,open
P0024,P0527,105,2,open
P0024,P0644,62,1,open
P0024,P0848,157,2,open
P0024,P0852,79,1,open
P0025,P0145,161,3,open
P0025,P0186,102,2,open
P0025,P0382,158,2,open
P0025,P0392,145,2,open
P0025,P0719,190,3,open
P0026,P0217,215,3,open
P0026,P0437,217,3,open
P0026,P0716,200,3,open
P0026,P0786,106,2,open
P0027,P0231,199,3,open
P0027,P0312,101,2,open
P0027,P0764,135,2,open
